Titulo;Autor;Editora; Valor 
50 Tons da Vida;Roberto Livianu;Atelie; 39,90 
A Um - Poemas;Robert Creeley;Atelie; 41,00 
A Voz e o Tempo - 3a ed.;Roberto Gambini;Atelie; 72,00 
A.S.A. - Associação dos Solitários Anônimos;Rosario Fusco;Atelie; 58,00 
Acústica Musical em Palavras e Sons, A;Flo Menezes;Atelie; 81,00 
Adeus Penderama e Outros Escritos;José Paulo Cavalcanti Filho;Atelie; 42,00 
Adoniran Barbosa - O Poeta da Cidade;Francisco Rocha;Atelie; 53,00 
Adorável Criatura Frankenstein;Ademir Assunção;Atelie; 42,00 
Afeto Autoritário, O - Televisão, Ética e Democracia;Renato Janine Ribeiro;Atelie; 42,00 
Afinador de Passarinhos, O;Gil Perini;Atelie; 38,00 
Aldo Manuzio. Editor. Tipógrafo. Livreiro (2a ed.);Enric Satué;Atelie; 75,00 
Alguma Crítica;João Alexandre Barbosa;Atelie; 55,00 
Almanaque Tipográfico Brasileiro;Carlos M. Horcades;Atelie; 67,00 
Alongamento;Sérgio Medeiros;Atelie; 51,00 
Altar & o Trono, O - Dinâmica do Poder em O Alienista;Ivan Teixeira;Atelie; 106,00 
Amaro Macedo - O Solitário do Cerrado;Gil Felippe, Maria do Carmo Duarte Macedo;Atelie; 39,00 
Amor, Luta e Luto - No Tempo da Ditadura;Maria do Socorro Diógenes;Atelie; 40,00 
Ancora Medicinal para Conservar a Vida com Saúde;Francisco da Fonseca Henriquez;Atelie; 92,00 
Andaimes;Milton Torres;Atelie; 58,00 
Anfiteatro, O - Textos sobre Medicina;Pedro Nava;Atelie; 40,00 
Angu de Sangue - 3a. ed.;Marcelino Freire;Atelie; 52,00 
Anima Mundi;Ricardo Pires de Souza;Atelie; 79,00 
Animal de Silêncios;Jaime Labastida;Atelie; 39,00 
Anos de Exílio do Jovem Mallarmé, Os;Joaquim Brasil Fontes;Atelie; 42,00 
Antologia Poética;Jorge Wanderley;Atelie; 58,00 
Antologia Poética - 1987-2017;Marcelo Sandmann;Atelie; 39,90 
Ao Vires Isto - Gertrude Stein;João Queiroz, Daniella Aguiar, Luci Collin;Atelie; 44,90 
Apoteose de Schoenberg;Flo Menezes;Atelie; 83,00 
Arabia Brasilica;Alberto Sismondini;Atelie; 45,00 
Arca de Noésio, A;Gustavo Martins;Atelie; 19,00 
Arquétipos Literários, Os - 3a ed.;Eleazar M. Meletínski;Atelie; 45,00 
Arte da Automutilação, A;Felipe Lion;Atelie; 47,00 
Arte de Argumentar, A (14a. ed.);Antônio Suárez Abreu;Atelie; 49,00 
Arte de Argumentar, A - Gerenciando Razão e Emoção;Antônio Suárez Abreu;Atelie; 49,00 
Arte do Zajal, A - Estudo de Poética Árabe;Michel Sleiman;Atelie; 54,00 
Arte Invisível ou a Arte do Livro, A;Plinio Martins Filho;Atelie; 42,00 
Arte, Dor - Inquietudes entre Estética e Psicanálise;João A. Frayze-Pereira;Atelie; 98,00 
Artigas e Cascaldi - Arquitetura em Londrina;Juliana Suzuki;Atelie; 71,00 
Até a Margem do Grande Rio;Edu Campos;Atelie; 42,00 
Atando as Pontas da Vida;Ariovaldo José Vidal;Atelie; 51,00 
Ateneu, O;Emília Amaral, Raul Pompeia;Atelie; 46,00 
Auto da Barca do Inferno;Gil Vicente, Ivan Teixeira;Atelie; 31,00 
Bailadora Andaluza, A - A Explosão do Sagrado na Poesia de João Cabral;Waldecy Tenório;Atelie; 43,00 
BaléRalé;Marcelino Freire;Atelie; 48,00 
Baldio - poemas (2009-2017);Rodrigo Madeira;Atelie; 44,90 
Balão Cativo;Pedro Nava;Atelie; 72,00 
Banda das Velhas Virgens, A - 18 Anos de Bar em Bar;Alexandre Cavalo, Ricardo dos Santos Gozzi;Atelie; 39,80 
Batalha dos Livros, A;Lincoln Secco;Atelie; 46,00 
Beauty & Fashion;Mário Cafiero;Atelie; 76,00 
Beira-Mar;Pedro Nava;Atelie; 78,00 
Bibliomania;Lincoln Secco, Marisa Midori Deaecto;Atelie; 59,00 
Biblioteca Imaginária, A;João Alexandre Barbosa;Atelie; 44,00 
Bicho Urucutum, O;Pedro Nava;Atelie; 43,00 
Bilhete Seco;Elisa Nazarian;Atelie; 48,00 
Bom Crioulo;Salete de Almeida Cara, Kaio Romero, Adolfo Caminha;Atelie; 40,00 
Bovarismo e Romance - Madame Bovary e Lady Oracle;Andrea Saad Hossne;Atelie; 53,00 
Branco sobre Branco;Guilherme Zarvos;Atelie; 55,00 
Brasil: Paisagens de Exceção - O Litoral e o Pantanal Mato-grossense: Patrimônios Básicos;Aziz Ab Sáber;Atelie; 55,00 
C@rtas Ácidas da Campanha de Lula de 1998, As;Bernardo Kucinski;Atelie; 38,00 
Cadenciando-um-Ning - Um Samba, para o Outro;Michael Palmer, Régis Bonvicino;Atelie; 35,00 
Caderno de Literatura e Cultura Russa - Dostoiévski;Depto. Letras Orientais USP;Atelie; 97,00 
Cadernos 1 e 2;Pedro Nava;Atelie; 30,00 
Caligramas (2a ed.);Álvaro Faleiros, Guillaume Apollinaire;Atelie; 68,00 
Cama de Campanha;Flávio Carvalho Ferraz;Atelie; 42,00 
Caminho do Encontro, A - Uma Leitura de Contos Novos;Ivone Daré Rabello;Atelie; 53,00 
Caminhos do Romance em Portugal - Camilo, Eça e o Folhetim Francês;Andréa Trench de Castro;Atelie; 52,00 
Cantigas do Falso Alfonso el Sabio;Affonso Ávila;Atelie; 45,00 
Capa do Livro Brasileiro, A - 1820-1950;Ubiratan Machado;Atelie; 320,00 
Capas de Santa Rosa;Luís Bueno;Atelie; 132,00 
Capítulos da História da Medicina no Brasil;Pedro Nava;Atelie; 68,00 
Carne, A;Júlio Ribeiro;Atelie; 47,00 
Cartas a Miranda;Quatremère de Quincy;Atelie; 35,00 
Cartas a William Agel de Mello;João Guimarães Rosa, William Agel de Mello;Atelie; 39,60 
Cartas aos Amigos Caio Porfírio Carneiro e Fábio Lucas;João Antônio;Atelie; 32,00 
Cartas de Fidelino de Figueiredo e de Segismundo Spina;Nuno Fidelino de Figueiredo;Atelie; 33,00 
Cartilha - Martelo-Gabinete e Ferrografia;Virgílio Maia;Atelie; 33,00 
Casa de Pensão;Marcelo Bulhões, Aluísio de Azevedo;Atelie; 48,80 
Casa dos Seis Tostões, A;Paul Collins;Atelie; 67,00 
Casas Importadoras de Santos e seus Agentes;Carina Marcondes Ferreira Pedro;Atelie; 42,00 
Catecismo da Preservação de Monumentos;Max Dvorák;Atelie; 41,00 
Céus Derretidos;Teixeira Coelho, Jean-Claude Bernardet;Atelie; 41,00 
Cem Menores Contos Brasileiros do Século, Os;Marcelino Freire;Atelie; 35,00 
Cem Menores Contos Brasileiros do Século, Os (5a. ed.);Marcelino Freire;Atelie; 48,00 
Cena Absurdo;Pedro Marques;Atelie; 67,00 
Cena Macaca;Zé Pedro;Atelie; 65,00 
Cena Muda, A;Miguel Angel Fernandez;Atelie; 46,00 
Cenas da Infância - Kartolas, Kalungas e Katiras;Jonas Rosa;Atelie; 39,00 
Cenas em Jogo;Renato Tardivo;Atelie; 33,00 
Cera das Almas;Pedro Nava;Atelie; 39,00 
Choro de Homem;Marcos Rodrigues;Atelie; 39,00 
Ciclo das Chamas;Antônio Lázaro de Almeida Prado;Atelie; 39,00 
Cidade de Atys;Marcelo Novaes;Atelie; 29,00 
Cidade e as Serras, A;Paulo Franchetti, Leila Guenther, Eça de Queirós;Atelie; 46,00 
Cidadela Ardente;Thelma Guedes;Atelie; 40,00 
Cinematografia;Paulo Lopes Lourenço;Atelie; 44,90 
Clarice Lispector - Uma Poética do Olhar;Regina Pontieri;Atelie; 49,00 
Clepsidra;Paulo Franchetti, Camilo Pessanha;Atelie; 38,00 
Clichês Brasileiros;Gustavo Piqueira;Atelie; 69,00 
Clusters;Pedro Marques;Atelie; 33,00 
Cocanha - Várias Faces de uma Utopia;Hilário Franco Jr.;Atelie; 55,00 
Coisas do Diabo Contra;Eromar Bomfim;Atelie; 44,00 
Comédia e Seus Duplos, A: O Anfitrião de Plauto;Rodrigo Tadeu Gonçalves;Atelie; 69,90 
Comentário Literal sobre os Três Primeiros Capítulos do Gênesis;Giovanni Jacopo Casanova;Atelie; 32,00 
Comunicados Lacônicos;Antonio Lizárraga;Atelie; 42,00 
Condillac Lúcido e Translúcido;Leon Kossovitch;Atelie; 56,00 
Contos da Nova Cartilha - Primeiro Livro de Leitura;Liev Tolstói;Atelie; 53,00 
Contos do Divã;Sylvia Loeb;Atelie; 42,00 
Contracomunicação;Décio Pignatari;Atelie; 44,00 
Conversações Noturnas & Outros Poemas, As;José Laurenio de Melo;Atelie; 40,00 
Coração, Cabeça e Estômago;Camilo Castelo Branco;Atelie; 45,50 
Coreografia do Desejo, A - Cem Anos de Ficção Brasileira;Maria Angélica G. Lopes;Atelie; 45,00 
Cores de Rosa;Adélia Bezerra de Meneses;Atelie; 60,00 
Corredores para Abutres;Regina Silveira;Atelie; 31,00 
Corrupção (18 Contos);Rodrigo Penteado;Atelie; 44,00 
Cortiço, O;Paulo Franchetti, Leila Guenther, Aluísio de Azevedo;Atelie; 47,80 
Coruja, O;Aluísio de Azevedo, José de Paula Ramos Jr., Maria Schtine Viana, Kaio Romero;Atelie; 58,00 
Cozinheiro Nacional: Melhores Receitas Brasileiras e Europeias;Anônimo;Atelie; 98,00 
Crítica e Criação - Um Estudo da Kreisleriana Op. 16 de Robert Schumann;Mónica Vermes;Atelie; 53,00 
Crítica Literária Brasileira em Perspectiva, A;Rogério Cordeiro, Andréa Sirihal Werkema, Claudia Campos Soares, Sérgio Alcides Pereira do Amaral;Atelie; 58,00 
Criação e Conflito;Celeste Ribeiro de Sousa;Atelie; 48,00 
Crônicas da Vida Boêmia;Aluízio Falcão;Atelie; 48,00 
Crônicas Efêmeras;João do Rio;Atelie; 45,00 
Crise em Crise - Notas sobre Poesia e Crítica;Paulo Franchetti;Atelie; 65,00 
Cultura Literária Medieval, A;Segismundo Spina;Atelie; 35,00 
Da Argila à Nuvem;Yann Sordet;Atelie; 44,00 
Dança de Shiva, A;Ricardo Pires de Souza;Atelie; 27,00 
Dante - O Poeta do Absoluto;Dante Alighieri, Hilário Franco Jr.;Atelie; 28,00 
De Olho na Morte e Antes;Fernando Fortes;Atelie; 88,00 
De Orfeu e de Perséfone - Morte e Literatura;Lélia Parreira Duarte;Atelie; 55,00 
De Voos e Ilhas - Literatura e Comunitarismos;Benjamin Abdala Jr.;Atelie; 56,00 
Debaixo do Sol;Eunice Arruda;Atelie; 40,00 
Descoberta do Frio, A;Oswaldo de Camargo;Atelie; 38,00 
Desenho Mágico - Poesia e Política em Chico Buarque;Adélia Bezerra de Meneses;Atelie; 65,00 
Design como Ele É, O;Chico Homem de Melo, Eliana Tróia;Atelie; 28,00 
Design da Escrita, O - Redigindo com Criatividade e Beleza, Inclusive Ficção;Antônio Suárez Abreu;Atelie; 45,00 
Deste Lugar;Paulo Franchetti;Atelie; 39,00 
Deuses Chutam Lata na Consolação, Os;Gilson Rampazzo;Atelie; 38,00 
Dez Mitos sobre os Judeus - 2a. ed.;Maria Luiza Tucci Carneiro;Atelie; 50,00 
Diana Caçadora & Tango Fantasma;Márcia Denser;Atelie; 45,00 
Dias Melhores... Pra Sempre!;Cyro Leão, Luiz Chinan, Jadyr Pavão Jr.;Atelie; 33,00 
Diálogos Literários - Literatura, Comparativismo e Ensino;Agnaldo Rodrigues da Silva;Atelie; 54,00 
Diálogos sobre a Tecnologia do Cinema Brasileiro;Paulo B. C. Schettino;Atelie; 61,00 
"Diderot - O Espírito das ""Luzes""";Jacó Guinsburg;Atelie; 28,00 
Dissipatio H.G. - O Fim do Gênero Humano;Guido Morselli;Atelie; 45,00 
Distopia;Hélio Franchini Neto;Atelie; 38,00 
Divina Comédia;Henrique Xavier, João Adolfo Hansen, Sandro Botticelli, Dante Alighieri, João Trentino Ziller;Atelie; 520,00 
Do Formalismo Estético Trovadoresco;Segismundo Spina;Atelie; 49,50 
Dom Casmurro;Leila Guenther, Paulo Franchetti, Machado de Assis;Atelie; 48,00 
Domínios de Natureza no Brasil, Os - 8a ed.;Aziz Ab Sáber;Atelie; 56,00 
Domínios de Natureza no Brasil, Os - Potencialidades Paisagísticas;Aziz Ab Sáber;Atelie; 52,00 
Drummond - Da Rosa do Povo à Rosa das Trevas;Vagner Camilo;Atelie; 75,00 
Duplo Canto e Outros Poemas;François Cheng;Atelie; 92,00 
E Fizerom Taes Maravilhas... - Histórias de Cavaleiros e Cavalarias;Lênia Márcia Mongelli;Atelie; 85,00 
Eça de Queiroz. Uma Biografia;A. Campos Matos;Atelie; 128,00 
Economia da Cultura, A;Françoise Benhamou;Atelie; 45,00 
Edgar Allan Poe - Um Homem em sua Sombra;Ricardo Araújo;Atelie; 43,00 
Edição e Revolução: Leituras Comunistas no Brasil e na França;Marisa Midori Deaecto, Jean-Yves Mollier;Atelie; 78,00 
