Product_Id,Product_Name,Quantity,Price
5632,"Heat Shrink Tube - 1mm Dia, Black, 1 Meter Length",4,5
50548,"Heat Shrink Tube - 1mm Dia, Black, 1 Meter Length",10111,5
100000,"Heat Shrink Tube - 1mm Dia, Black, 1 Meter Length",10111,5
5371,"GSM Antenna - SMA - 5cm (50mm/2"") - 3G",6,65
5366,TCS34725 RGB Color Sensor Module -  IR filter and White LED - Digital I2C Output,12,450
5392,SMA to IPX/IPEX/uFL/u.FL RF Adapter Cable - 30cm,4,165
5369,"2.4 Ghz, 3DB Antenna, SMA - White",2,135
5379,XL6005 - XL6005E1 -TO252 - Step-Up DC Power Converter IC,5,75
5381,N76E003 - N76E003AT20 Nuvoton Development Board,2,320
3774,Altera USB Blaster - ByteBlaster II CPLD FPGA Download Cable JTAG Chain Debugger,43,850
5382,NULINK - Nu-Link - Nuvoton - ICP - SWD - USB Programmer,4,1500
5375,N76E003 - N76E003AT20 - Nuvoton - TSSOP20 - 1T-8051 - 16MHz - 12 bit ADC - 2x UART,2,45
4569,HT9200A - SOIC8 - Holtek - DTMF Tone Generator IC,4,15
4481,1 Channel Capacitive Touch Module - TTP223,2,175
4834,MAX9814 Microphone Amplifier AGC Auto Gain Control,3,350
4808,STM32F105RBT6 - USB Host - ARM M3,6,300
5278,USB Enclosure - Black Translucent,1,35
5403,MAX491 MAX491CSD MAX491ESD - SOIC14 - RS485 - RS422 Transceiver,3,27
5537,RPR220 - Infrared Optical Reflective Type Photosensor (Photoreflector),3,35
5536,"OLED Display Board 0.96"" 128x64 White SPI - 7 Pins - SSD1306",24,425
5535,"OLED Display Board 0.96"" 128x64 White I2C - 4 Pins - SSD1306",2,425
5360,USB 3.0 B-type Female 9 Pin 90 Deg Right Angle PCB Mount,3,75
4830,USB 2.0 - A-Type Female - 4 pin - DIY Wire Solder - Black,12,20
5395,USB 3.0 A-type Female - Right Angle - Through Hole - PCB Mount - 9 pins,2,25
5362,USB 3.1 Type-C 6pin for Power/Charging - Reversible,23,25
5365,USB 3.1 Type-C 16pin Reversible,12,35
5401,Micro USB 2.0 - 5 pin - DIY Wire Solder - White,2,20
5384,USB 2.0 - A-Type Plug Male - 4 pin - DIY Wire Solder - Black,56,20
5534,HR202L - HR202 - Humidity sensitive resistor,43,65
5479,HCPL-0631-500E - HCPL0631 - SMD - SOIC8 - Dual Channel High Speed Optocoupler,23,65
5283,HDMI A-type 19P HD Female Double Row Through Hole,12,45
5404,AC Line Filter - MTC21811,15,22
5389,AC Line Filter - MTC21808,16,22
5372,Audio & Signal Coupling Isolation Transformer 1:1 5-pin 1000:1000,74,75
5533,Flame Sensor - 5mm IR Diode - YG1006,32,12
5532,Mounting Bracket - Clamping Kit for Fingerprint Sensors R305 R307 - Black,23,220
5531,Finger Print Sensor R307 (New R305),43,1750
5514,SIM Card Holder - 6 pin - Push In - Eject Yellow Pin - SIM Tray,2,58
4703,Humidity Sensor Module - HR202,3,125
5530,LoRa RF Module - RA-02 - SX1278 - 433 Mhz - SPI - Wireless Transceiver - IPEX,6,625
5529,LoRa RF Module - RA-01 - SX1278 - 433 Mhz - SPI - Wireless Transceiver - Spring Antenna,7,625
5525,LDR - Light Dependent Resistor - GL5528 - 5mm,9,6
5524,LDR - Photosensitive Resistor - Waterproof - GL5528 - JST PH 2.0mm 2P,8,25
5495,5V@1A AC-DC Isolated SMPS - 220V Input - 5V 1000mA DC output,4,220
5527,RG178 RF Coaxial cable - 50 ohm - Dia 1.8mm - 1 Meter,2,120
4426,Jumper Wires - Male/Female - 10 way - 20cm (8 In),6,25
3940,Dust Cover - DB9,2,6
3930,Jumper Wires - Female/Female - 10 way - 20cm (8 In),5,25
3840,Serial Communication Cable - 3 Core - M2F DB9 - TX/RX/GND - RS232 - 1.5 Meters,4,65
3041,Jumper Wires - Male/Male - 10 way - 20cm (8 In),2,30
4259,White LED 3mm,1,2
5520,SIM Card Holder - 6 pin - Push In type,4,12
5519,Nano SIM Card Holder - 6 pin - Flip Open - Metal Hinge,5,25
5518,Micro SIM Card Socket - 6 pin - Flip Open - Metal Hinge,7,15
5517,SIM Card Holder - 6 pin - Flip Open - Metal Hinge,23,12
5516,Nano SIM card Socket - 6 Pins - Push In type,4,20
5515,Micro SIM Card Socket - 6 pins - Spring Loaded Push type,15,30
5513,SIM Card Holder - 6 pin - Flip Open - Hinge Cover Type,54,12
5498,12V@0.4A AC-DC Isolated SMPS - 220V Input - 12V 400mA DC output,34,180
5497,5V@0.7A AC-DC Isolated SMPS - 220V Input - 5V 700mA DC output,56,180
5500,2mm Spacer for 3mm(T-1) LEDs,7,1
5499,Solid State Relay(SSR) DC(24V) - AC(100-240V) 2A,6,145
5496,AC-DC Isolated Power Module 220V to 12V@0.41A (410mA) 5W SMPS Vertical Mounting,8,180
5489,Micro USB Connector - B Female - 5 Pin Through Hole - Vertical Mounting,4,15
4513,AC-DC Isolated Power Module 220V to 5V@0.6A 3W HLK-PM01,54,300
5432,QFP64 TQFP64 - 0.5mm - Body 10x10mm (12x12mm with Pins) - ZIF Socket,45,1950
5431,QFP48 TQFP48 LQFP48 PQFP48 - 0.5mm - Body 7x7mm (9x9mm with Pins) - ZIF Socket,4,1850
5430,QFP44 TQFP44 LQFP44 - 0.8mm - Body 10x10mm(12x12mm with Pins) - ZIF Socket,3,1450
5429,QFP32 PQFP32 TQFP32 - 0.5mm - Body 5x5mm (7x7mm with Pins) - ZIF Socket,2,1450
5428,TSSOP20 SSOP20 - 0.65mm - Body 5.3mm - ZIF Socket,52,500
5427,TSSOP28 SSOP28 - 0.65mm - Body 5.3mm - ZIF Socket,5,500
5426,TSSOP10 SSOP10 - 0.65mm - Body 4.4mm - ZIF Socket,2,500
5425,TSSOP24 SSOP24 - 0.65mm - Body 4.4mm - ZIF Socket,3,500
5424,TSSOP24 SSOP24 - 0.65mm - Body 5.3mm - ZIF Socket,5,500
5423,TSSOP14 SSOP14 - 0.65mm - Body 4.4mm - ZIF Socket,2,500
5422,TSSOP16 SSOP16 - 0.65mm - Body 4.4mm - ZIF Socket,5,500
5421,SOIC24 SOP24 - 1.27mm - Body 7.5mm (300mils) - ZIF Socket,2,500
5420,SOIC18 SOP18 - 1.27mm - Body 300mil (7.5mm),5,500
5419,SOIC20 SOP20 - 1.27mm - Body 7.5mm (300mils) - ZIF Socket,6,500
5418,TSSOP8 SSOP8 - 0.65mm - Body 4.4mm - ZIF Socket,6,500
5417,SOIC16 SOP16 - 1.27mm - Body 7.5mm (300mil) - ZIF Socket,3,500
5416,SOIC16 - 1.27mm - Body 5.3/5.4mm (0.209 inch) - ZIF Socket,8,500
5414,QFP32 - TQFP32 - FQFP32 - 0.8mm - Body 7x7mm (9x9mm with Pins) - ZIF Socket,4,1850
5413,SOIC14 - 1.27mm - Body 3.9mm (150mil) - ZIF Socket,3,500
5412,TSSOP28 SSOP28 - 0.65mm - Body 4.4mm - ZIF Socket,9,500
5411,SOIC20 SOP20 - 1.27mm - Body 5.3/5.4mm (0.209 inch) - ZIF Socket,45,500
5410,SOIC16 - 1.27mm - Body 3.9mm - ZIF Socket,3,500
5409,SOIC8 - 1.27mm - Wide Body 5.25/5.28/5.3/5.4mm (0.209 inch) - ZIF Socket,3,500
5415,Universal Test Clip for SOIC8 1.27mm both Narrow & Wide Body,23,850
3986,Stereo Socket - PCB Mount - 3.5mm,2,9
5494,AC-DC Isolated Power Module 220V to 12V@0.41A 5W HLK-5M12,23,355
5493,AC-DC Isolated Power Module 220V to 3.3V@1.5A 5W HLK-5M03,45,355
5492,AC-DC Isolated Power Module 220V to 5V@1A 5W HLK-5M05,3,355
5491,AC-DC Isolated Power Module 220V to 12V@0.25A 3W HLK-PM12,53,325
5490,AC-DC Isolated Power Module 220V to 3.3V@0.9A 3W HLK-PM03,2,325
5488,2.4 Ghz Antenna for Wifi with IPX/IPEX Cable,1,135
5487,SMA Male - Wire Solder - RG178 - SMA-1.5 Female Thread 50-1.5,11,38
5512,15mm Spacer for 3mm(T-1) LEDs,12,1
5501,3mm Spacer for 3mm(T-1) LEDs,12,1
5481,Fuse Holder Clip - Pitch 5.08mm - PCB Mount for 5x20mm Fuse,23,3
5480,Fuse Holder with Transparent Cover for 5x20mm Fuses - PCB Mount,14,15
5405,PCB Ruler for Quick SMD Footprint & Dimensions Query,8,285
5486,Switch with White LED 12x12x7.3mm,7,34
5485,Switch with Green LED 12x12x7.3mm,4,34
5484,Switch with Orange LED 12x12x7.3mm,3,34
5483,Switch with Blue LED 12x12x7.3mm,3,34
5482,Switch with Red LED 12x12x7.3mm,4,34
5476,White SMD LED 0603,6,2
5475,Orange SMD LED 0603,7,2
5474,Green SMD LED 0603,7,2
5461,LQFP100 0.65mm pitch (RTL8019 Ethernet chip) (cy7c68013) SMD Adapter PCB,3,95
5460,TO263-8 D2-PAK SMD Adapter PCB,5,55
5459,QFP / EQFP / TQFP / LQFP 80/84/92/100 0.5mm SMD Adapter PCB,2,95
5458,QFN80 LQFP80 0.65mm SMD Adapter PCB,56,55
5457,SSOP48 0.635mm SMD Adapter PCB,3,50
5456,FPC FFC 40p 38p 36p 34p 32p 0.5mm SMD Adapter PCB,4,55
5455,QFN28 0.4mm (Body 4x4mm) / QFN28 0.5mm (Body 5x5mm) SMD Adapter PCB,6,55
5454,QFN48 0.5mm SMD Adapter PCB,3,55
5453,FPC FFC 30p 28p 26p 24p 22p 0.5mm SMD Adapter PCB,4,40
5452,QFN44 0.5mm SMD Adapter PCB,98,50
5462,QFP/EQFP/PQFP/TQFP/LQFP/FQFP - 144/128 SMD Adapter PCB,3,130
5451,SMD Crystal 7050 5032 3225 PCB Adapter,5,32
5450,QFN24 0.5mm 0.65mm SMD Adapter PCB,7,45
5449,QFN28 0.65mm SMD Adapter PCB,7,30
5448,TO252 SMD Adapter PCB,5,30
5447,QFN20 LFCSP20 0.5mm 0.65mm SMD Adapter PCB,1,30
5445,TO263-5 SMD Adapter PCB,3,30
5444,QFN56 QFN64 0.5mm SMD Adapter PCB,4,45
5443,FPC FFC 20p 18p 16p 14p 12p 0.5mm SMD Adapter PCB,5,30
5442,LGA16 QFN16 (3x3mm) 0.5mm Adapter PCB,6,30
5441,TSSOPII TSSOP56 to DIP56 0.635mm / 0.8mm pitch SDRAM Adapter PCB,6,45
5440,FPC FFC 4p 6p 8p 10p 0.5mm SMD Adapter PCB,7,25
5438,DFN10 eMSOP10 0.5mm SMD Adapter PCB,7,25
5437,QFP32 QFN32 0.65mm 0.8mm SMD Adapter PCB,4,20
5436,2586 1812 1210 1206 SMA SMB SMC SMD Adapter PCB,4,18
5435,Cap/Coil SMD Adapter PCB,4,16
5434,0805/0603/0402/LED SMD to DIP PCB,76,18
5594,2P Metal Mini Round Shell Aviation Male and Female Circular Connectors GX16 - 16mm,7,60
5472,DC-DC Step Down 5A - XL4005,7,178
5471,Atmospheric Pressure(Altitude) + Temperature sensor based on BMP280 - I2C/SPI interface,44,250
5470,Micro USB Breakout PCB,6,25
5363,"5 pin JST XH, 2.5mm, M+F, Side Entry",7,13
5364,"5 pin JST XH, 2.5mm, M+F, Top Entry",9,13
4358,"Micro USB Connector, B Female, 5 Pin SMD",7,6
5446,DB9 Breakout PCB,1,30
5439,USB A-Type Female Breakout PCB,2,25
5433,Mini USB-B Breakout PCB,2,20
5468,PIR612 Demo Board,3,500
5467,Fresnel Lens for PIR Sensor dia 9mm,4,22
5466,PIR612 - Integrated PIR Sensor for Motion Sensing,45,145
5465,SMA Female PCB Vertical Mount - SMA-KE,5,35
3987,RF Transmitter 433MHz ASK 500mW@12V,76,135
5469,"40x1 Header Strip 2.54mm Pitch, Right Angle, Reversed Black Plastic",78,15
5463,USB 3.0 Breakout PCB Board with USB Connector Soldered,4,175
5350,Microwave Doppler Radar Module for Motion Detection RCWL-0516,4,125
3958,CS5460A - 24 bit ADC - SPI,3,65
5464,Micro PIR Motion Detection Sensor AM312,6,275
5408,Mini PIR Motion Detection Sensor HC-SR505,7,220
4176,PIR Motion Detection Sensor HC-SR501,78,135
5288,Piezo Passive Buzzer - Vertical,89,20
3776,4 Key RF Keypad Transmitter 433 Mhz EV1527 - Learning Code,8,500
4306,"RF Serial Data Link UART, 433 Mhz, +20dBm, HC-12",7,735
5292,FS8205A TSSOP-8,6,15
5361,Slide Switch SMD 2P2T - 6 pins - Side Offset Knob,6,12
4208,20x4 LCD Black on Yellow/Green,5,425
4825,2SC3356 (R25) SOT23,5,12
1102,Micro SD Memory Card interface for 3V MCU,4,100
1448,RF Remote Control Receiver Only - 4 Relays,3,800
5286,RF Remote Control - 4 CH Relay+Keypad,3,1180
4865,Enclosure for 7 Segment Displays,34,95
5349,RS485-TTL Module with Protection & Auto Transmit/Receive Switching,5,425
5358,40x2 Header Strip 40 pins Female - Dual Row - Straight - 2.54mm Pitch,6,15
